numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07314;20230425090000;101730;120;3;80;2.900000;286.150000;281.850000;75;10000;2;2;mq;100;8;800;38;mq;mq;101450;mq;mq;70;mq;mq;mq;mq;mq;mq;mq;5.000000;5.000000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;1;8;800;7;6;1500;mq;mq;mq;mq;mq;mq;
07335;20230425090000;101710;80;3;40;1.300000;284.050000;278.150000;67;50960;0;mq;mq;100;8;5340;mq;mq;mq;100260;mq;mq;110;mq;mq;mq;mq;281.650000;mq;mq;3.000000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;5340;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20230425090000;101680;110;3;310;1.600000;282.750000;278.150000;73;37040;0;mq;mq;100;7;450;mq;mq;mq;96890;mq;mq;20;mq;mq;mq;mq;282.650000;mq;mq;3.500000;3.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;7;mq;480;8;mq;4500;mq;mq;mq;mq;mq;mq;
07460;20230425090000;101590;90;3;350;4.000000;286.150000;275.650000;49;45710;0;mq;mq;75;3;1250;mq;mq;mq;97680;mq;mq;30;mq;mq;mq;mq;281.550000;mq;mq;7.000000;7.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;1260;3;mq;1440;6;mq;6420;mq;mq;mq;
07471;20230425090000;mq;110;2;330;3.700000;281.650000;275.450000;65;20000;0;mq;mq;100;6;800;mq;mq;mq;91880;92500;777;0;mq;mq;mq;mq;280.250000;mq;mq;7.300000;8.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.200000;0.400000;mq;mq;mq;mq;6;mq;870;6;mq;1140;8;mq;5520;mq;mq;mq;
07481;20230425090000;101570;110;3;340;6.800000;286.050000;276.150000;51;40000;2;2;2;60;4;1250;32;20;11;98720;mq;mq;-10;mq;mq;mq;mq;mq;mq;mq;9.300000;9.500000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;8;1100;5;0;8000;mq;mq;mq;mq;mq;mq;
07510;20230425090000;101700;140;1;100;3.600000;285.250000;283.350000;88;8780;61;mq;mq;100;5;450;mq;mq;mq;101120;mq;mq;-60;mq;mq;mq;mq;284.650000;mq;mq;4.900000;5.300000;-10;2;0.000000;mq;mq;0.200000;0.600000;1.600000;3.600000;4.200000;mq;mq;mq;mq;3;mq;420;5;mq;870;5;mq;1620;mq;mq;mq;
07535;20230425090000;101690;100;3;340;1.400000;284.050000;281.750000;86;19840;0;mq;mq;100;7;450;mq;mq;mq;98570;mq;mq;-80;mq;mq;mq;mq;285.650000;mq;mq;2.900000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.400000;3.200000;5.000000;mq;mq;mq;mq;7;mq;300;8;mq;3000;mq;mq;mq;mq;mq;mq;
07558;20230425090000;101450;80;3;340;5.300000;283.150000;281.050000;87;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;93190;mq;mq;-130;mq;mq;mq;mq;282.250000;mq;mq;7.300000;8.700000;-10;mq;0.000000;mq;mq;0.000000;-0.100000;0.200000;1.400000;1.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20230425090000;101440;80;3;20;5.600000;287.750000;280.350000;61;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100560;mq;mq;-80;mq;mq;mq;mq;286.050000;mq;mq;9.200000;9.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20230425090000;mq;60;8;160;3.700000;287.350000;275.250000;44;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;91060;mq;mq;-220;mq;276.750000;mq;288.850000;mq;mq;mq;mq;mq;mq;mq;0.030000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20230425090000;101650;110;3;60;2.900000;286.450000;285.950000;97;11800;61;mq;mq;100;8;150;mq;mq;mq;100940;mq;mq;-160;mq;mq;mq;mq;286.850000;mq;mq;4.100000;5.300000;-10;mq;0.000000;mq;mq;0.200000;2.400000;6.200000;7.600000;10.200000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07621;20230425090000;101650;130;3;260;5.500000;287.550000;286.550000;94;7210;61;mq;mq;100;7;250;mq;mq;mq;97390;mq;mq;-90;mq;mq;mq;mq;286.950000;mq;mq;9.100000;10.700000;-10;2;0.000000;mq;mq;2.000000;5.800000;6.000000;7.600000;9.800000;mq;mq;mq;mq;5;mq;270;6;mq;1290;7;mq;1470;mq;8;mq;
07627;20230425090000;101610;110;3;300;3.900000;287.650000;287.050000;96;20000;61;mq;mq;100;7;450;mq;mq;mq;96780;mq;mq;-130;mq;mq;mq;mq;286.850000;mq;mq;7.400000;7.400000;-10;2;0.000000;mq;mq;3.600000;5.000000;5.000000;8.400000;8.600000;mq;mq;mq;mq;2;mq;300;3;mq;420;7;mq;600;mq;mq;mq;
07630;20230425090000;101660;160;3;10;3.100000;285.350000;284.250000;93;13510;61;mq;mq;100;8;250;mq;mq;mq;99860;mq;mq;-160;mq;mq;mq;mq;286.950000;mq;mq;4.900000;6.100000;-10;2;0.000000;mq;mq;0.600000;1.200000;1.200000;3.000000;3.400000;mq;mq;mq;mq;5;mq;210;8;mq;480;mq;8;mq;mq;mq;mq;
07643;20230425090000;101460;80;3;10;3.700000;289.750000;281.650000;59;48230;0;mq;mq;100;2;1250;mq;mq;mq;101360;mq;mq;-110;mq;mq;mq;mq;286.350000;mq;mq;5.600000;6.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;1470;7;mq;1680;8;mq;2040;mq;mq;mq;
07650;20230425090000;101310;20;1;310;6.900000;292.050000;279.150000;43;15260;0;mq;mq;mq;2;1750;mq;mq;mq;100930;mq;mq;-160;mq;mq;mq;mq;287.950000;mq;mq;10.100000;10.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;1920;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20230425090000;mq;mq;mq;310;9.400000;mq;mq;mq;20000;1;0;mq;50;1;800;31;27;10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;13.400000;16.200000;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;8;800;3;3;2100;mq;mq;mq;mq;mq;mq;
07690;20230425090000;100790;-50;8;110;4.700000;290.350000;285.050000;71;50000;1;0;0;25;0;mq;30;20;12;100480;mq;mq;40;mq;mq;mq;mq;283.550000;mq;mq;6.000000;6.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07747;20230425090000;101430;30;3;310;5.300000;292.550000;284.850000;61;60000;0;mq;mq;90;5;1250;mq;mq;mq;100910;mq;mq;-180;mq;mq;mq;mq;286.450000;mq;mq;8.200000;8.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;5;mq;1020;5;mq;1200;6;mq;1920;mq;mq;mq;
